,Article_ID,Text
0,Geological Report_0,"Denne rapport tilhører6 STATOIL LTEK DOK.SENTER DISCOVERY EVALUATION WELL 15/9-19 SR Theta Vest Structure - PL046ARETURNERES ETTER BRUK Esso ICC HYDROTOTAL VOLUME l (Text, tables and figures)STATOILDuplikat Grad. : STATOIL DISCOVERY EVALUATION REPORT WELL 15/9-19 SR Theta Vest Structure - PL046A Esso X(C HYDROTOTAL VOLUME l (Text, tables and figures)STATOILSTATOIL DISCOVERY EVALUATION REPORT WELL 15/9-19 SR Theta Vest Structure PL 046 STATOIL 1993 Project leader: Report compilation: Reservoir geology: Seismic interpretation: Structural core description: Biostratigraphy: Core sedimentology Petrography: Petrophysics: Drill stem testing: Geochemistry: Text contributions:Contributions bv: Malm, O.A. Blekastad, T. Blekastad, T. Idsø, D. & Skole, B. Pallesen, S. & Ottesen, S. Milner, P. Allers, J.E. Nadeau, P. Logstein, J.l. Gjessing, K. Patience, R. Malm, O.A.STATOIL Title DISCOVERY EVALUATION REPORT WELL 15/9-19 SR Theta Vest Structure PL046 Prepared by SLEIPNER PETEKDate Dec. 1993No. of pages 190No. of enclosures 19 Key words PL 046, Sleipner, Exploration, Well 15/9-19 SR, Theta Vest structure, Oil, Discovery, Jurassic, Hugin Formation, ST8215R, Seismic interpretation, Structural geology, Tectonic development, Biostratigraphy, Sedimentology, Petrography, Geochemistry, Petrophysics, Drill stem testing, Resources. Abstract Exploration well 15/9-19 SR, drilled to the Theta Vest structure in the Sleipner area, encountered oil in the Jurassic Hugin Formation. The drill stem test showed very good production capacities through time, with low water cut and low GOR. A comprehensive study of the structure and the discovery has been performed and is reported."
1,Geological Report_10,"This includes seismic and structural interpretations, biostratigraphy, sedimentology, petrography, geochemistry, petrophysics, test analysis and resource estimation. The resources are calculated to 10.3 million Sm3 oil in place and 4.55 million Sm3 oil recoverable. Recommended by Date Ove A. Malm 16.12.93Approved by Date Sigve Haaland, 16.12.93 G&G Supervisor Sleipner Productionr'etr. ?Tech. Manager Sleipner ProductionO STATOIL TABLE OF CONTENTS Volume 1 1 SUMMARY 10 2 INTRODUCTION 12 3 SEISMIC INTERPRETATION AND MAPPING 16 3.1 Seismic database 16 3.2 VSP 16 3.3 Seismic interpretation 16 3.3.1 Top Heimdal Formation 17 3.3.2 Top Shetland Group 17 3.3.3 Top Blodøks Formation 17 3.3.4 Base Cretaceous Unconformity 17 3.3.5 Top Mesozoic Sandstone 18 3.3.6 Other horizons 18 3.4 Depth conversion 19 4 STRUCTURAL INTERPRETATION AND TECTONIC DEVELOPMENT 33 4.1 Structural core description 33 4.2 Estimate of tectonic thinning of the Hugin Fm. in the position of well 15/9-19 SR 35 4.3 Structural and tectonic development 36 4.3.1 Regional setting 36 4.3.2 The main fault zone 36 4.3.3 The Sleipner Terrace area 37 4.3.4 The Gamma High 38 4.3.5 Structural links between the Gamma High and the Sleipner Terrace 38 4.4 Tectonic history 39 4.4.1 Paleozoicum 39 4.4.2 Mesozoicum 40 4.4.3 Cenozoicum 40 4.4.4 Tectonic development of the Gamma High 41 5 GEOLOGICAL INTERPRETATION 58 5.1 Introduction 58 5.2 Biostratigraphy 58 5.2.1 Chronostratigraphy 59 5.2.2 Palynological events 59 5.2.3 Palaeo-environmental comments 59 5.2.4 Comparison with 15/9-9, -11, -13, -15, -16 and -17 wells ... 60 5.2.5 Biostratigraphy of the 15/9-9, 11, 13, 15, 16 and 17 wells ... 61 5.3 Lithostratigraphy 64 5.3.1 The Nordland Group (84.0 - 1034.3 mMSL) 66 5.3.2 The Hordaland Group (1034.3 - 2206.8 mMSL) 66STATOIL 5.3.3 The Rogaland Group (2206.8 - 2527.6 mMSL) 66 5.3.4 The Shetland Group (2527.6 - 2758.6 mMSL) 67 5.3.5 The Gromer Knoll Group (2758.6 - 2854.4 mMSL) 67 5.3.6 The Viking Group (2854.4 - 2864.0 mMSL) 68 5.3.7 The Vestland Group (2864.0 - 2882.0 mMSL) 68 5.3.8 The Triassic (2882.0 - 3110.3 mMSL) 68 5.4 Core description and sedimentology 69 5.4.1 The Triassic section, the Skagerrak Formation 69 5.4.2 The Jurassic section, the Hugin Formation 70 5.4.3 Conclusions 72 5.5 Mineralogy and petrology 72 5.5.1 The Heimdal Formation (Rogaland Gp., 3643.00-3645.50 m) . 72 5.5.2 The Hugin Formation (Vestland Gp., 4328.85-4343.25 m) . . . 73 5.5.3 The Skagerrak Formation (Hegre Gp., 4344.25-4354.00 m) ."
2,Geological Report_20,". 74 5.6 Jurassic and Triassic sediment distribution on the Gamma High ... 77 5.6.1 Deposition of Jurassic and Triassic sediments 77 5.6.2 Jurassic and Triassic stratigraphy in the wells 78 5.6.3 Lithostratigraphic correlation 82 5.6.4 Fades relations, depositional environment and sediment distribution 82 6 PETROPHYSICAL EVALUATION 101 6.1 Petrophysical analysis 101 6.2 Formations parameters 101 6.3 Formation temperature 102 6.4 Results 102 7 DRILL STEM TESTING 106 7.1 DST #1 106 7.1.1 Summary of analysis 106 7.1.2 Objectives 107 7.1.3 Test performance 107 7.1.4 Analysis 108 8 GEOCHEMISTRY 117 8.1 Geochemical properties of gas from DST#1, well 15/9-19 SR 117 8.2 Geochemical properties of oil from DST#1, well 15/9-19 SR 117 8.2.1 Bulk composition 117 8.2.2 Molecular composition 118 8.3 Thermal maturity 118 8.3.1 Gas 118 8.3.2 Oil 119 8.4 Source classification , 119 8.4.1 Gas 119 8.4.2 Oil 119 8.5 Comparison of Theta Vest with Sleipner Øst, Loke and Sleipner Vest 120 8.5.1 Sleipner Øst and Loke 120STATOIL 8.5.2 Sleipner Vest 121 8.5.3 Comparison with Theta Vest 121 9 DEFINITION OF DISCOVERIES, PROSPECTS AND LEADS AS A BASIS FOR RESOURCE ANALYSIS 150 9.1 Definition of structures 150 9.1.1 Faults and fault directions 150 9.1.2 Lineaments 150 9.1.3 Isochores 151 9.1.4 Depth maps 151 9.1.5 Structural areas 152 9.2 Evaluation of hydrocarbon source, migration and spill routes 155 9.2.1 Source rocks 155 9.2.2 Source areas 156 9.2.3 Migration paths 157 9.2.4 Spill routes 158 9.2.5 Pressure 159 9.3 Definition of prospects and leads 160 10 RESOURCE AND PROBABILITY ESTIMATION 168 10.1 The Theta Vest discovery 168 10.2 The western and eastern segments of the Theta Vest structure .... 171 10.3 The Theta C prospect 171 10.4 The Theta Sør prospect 173 11 FUTURE STUDIES AND EXPLORATION 186 11.1 Introduction 186 11.2 Evaluations based on the present data 186 11.3 Acquisition of new data 187 11.3.1 New seismic data 187 11.3.2 New well data 187 11.4 Evaluations based on new data 187 12 REFERENCES 188STATOIL LIST OF FIGURES Figure 2.1 Location of well 15/9-19 SR 13 Figure 2.2 The Sleipner Øst area 14 Figure 2.3 Structural cross-section along the 15/9-19 SR well path 15 Figure 3.1 Composite plot of VSP and random line along wellpath 21 Figure 3.2 Synthetic seismogram (seismic tie to well) 22 Figure 3.3 V0 map, Top Heimdal Formation 23 Figure 3.4 Structural depth map, Top Heimdal Formation 24 Figure 3.5 Structural depth map, Base Cretaceous Unconformity 25 Figure 3.6 Seismic crossline 491 through the 15/9-19 SR well 26 Figure 3.7 Amplitude map, Base Cretaceous Unconformity 27 Figure 3.8 Time map, Top Mesozoic Sandstone 28 Figure 3.9 Structural depth map, Top Mesozoic Sandstone 29 Figure 3.10 Result from add-linvel analysis down to Top Heimdal Formation. ... 30 Figure 3.11 Time/Depth and Velocity plot 15/9-19 SR 31 Figure 3.12 Location map of the profiles and the seismic sections 32 Figure 4.1 Fracture frequencies along 1 meter intervals of cores 2 and 3 43 Figure 4.2 Core photograph from the Hugin Formation, at 4336.59-4336.80 m MD RKB 44 Figure 4.3 Thin-section photograph 100X magnification from the Hugin Formation at 4336.84 m MD RKB 45 Figure 4.4 Fault with clay smear and striations in the Triassic at 4345 m MD RKB 46 Figure 4.5 Small faults in the Hugin Fm. at 4334 m MD RKB 47 Figure 4.6 The present day structural framework map 48 Figure 4.7 Structural setting of the Sleipner Complex 49 Figure 4.8 Simplified map of the main faults and lineaments in the Sleipner area 50 Figure 4.9 Structural depth map, Top Rotliegendes 51 Figure 4.10 Isochore, Top Rotliegendes - Base Cretaceous Unconformity 52 Figure 4.11 Seismic inline 510 through Theta Vest and Sleipner Øst 53 Figure 4.12 Seismic crossline 445 through well 15/9-17 54 Figure 4.13 Structural cross section through well path 15/9-19 SR 55 Figure 4.14 Seismic inline 703 in the Sleipner Øst area 56 Figure 4.15 Seismic inline through wells 15/9-19 SR (Theta Vest) and 15/9-11 (Sleipner Øst) 57 Figure 5.1 Middle to late Jurassic chronostratigraphy in the Sleipner area. .... 86 Figure 5.2 Drilling prognosis versus drilling results 87 Figure 5.3 Legend of core description 88 Figure 5.4 Core description of the Hugin and the Skagerrak Formation, well 15/9- 19 SR, scale 1:50 89 Figure 5.5 Optical micrograph from the Heimdal Formation, well 15/9-19 SR, from 3644.50 m, plug no. 7 91 Figure 5.6 Scanning Electron Micrographs, Heimdal Formation, well 15/9-19 SR, from 3644.50 m, plug No. 7 92STATOIL Figure 5.7 Geologic controls on reservoir quality of the Hugin Formation, well 15/9-19 SR 93 Figure 5.8 Optical micrograph from the Hugin Formation, well 15/9-19 SR, from 4330.25 m, plug no. 20 94 Figure 5.9 Optical micrograph from the Hugin Formation, well 15/9-19 SR, from 4331.25 m, plug no. 24 95 Figure 5.10 Optical micrograph from the Hugin Formation, well 15/9-19 SR, from 4333.25 m, plug no. 32 96 Figure 5.11 Hydrocarbon columns of the Jurassic and Triassic reservoirs in the Sleipner Øst area 97 Figure 5.12 Paleogeography of the Late Callovian regressive systems tract (max progradation) 98 Figure 5.13 Paleogeography of the Mid Oxfordian regressive systems tract (max."
3,Geological Report_30,"progradation) 99 Figure 5.14 Isochore map, Base Cretaceous Unconformity - Top Mesozoic Sandstone 100 Figure 6.1 Log and core presentation of the Hugin and the Skagerrak Formations, well 15/9-19 SR 104 Figure 6.2 CPI plott through the Hugin Formation, well 15/9-19 SR 105 Figure 7.1 The performance of bottomhole pressure and temperature for the whole test period 113 Figure 7.2 The Semi Log Analysis 114 Figure 7.3 The pressure data with the Type Curve match 115 Figure 7.4 The Semi Log Analysis matched with synthetic generated data 116 Figure 8.1 Chemical composition of gas from DST#1, well 15/9-19 SR 134 Figure 8.2 Isotopic composition of gas from DST#1, well 15/9-19 SR 135 Figure 8.3 Carbon isotopic composition of oil and fractions from well 15/9-19 SR 136 Figure 8.4 Gas chromatogram of the saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 137 Figure 8.5 Gas chromatogram of the aromatic hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 138 Figure 8.6A Mass fragmentograms from GCMS analysis of saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR - long plots 139 Figure 8.6B Mass fragmentograms from GCMS analysis of saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR - short plots 140 Figure 8.6C Mass fragmentograms from GCMS analysis of saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR - short plots 141 Figure 8.6D Mass fragmentograms from GCMS analysis of saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR - short plots 142 Figure 8.6E Mass fragmentograms from GCMS analysis of saturated hydrocarbon fraction from DST#1 oil, well 15/9-19 SR - short plots 143 Figure 8.7A Mass fragmentograms from GCMS analysis of aromatic hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 144 Figure 8.7B Mass fragmentograms from GCMS analysis of aromatic hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 145 Figure 8.7C Mass fragmentograms from GCMS analysis of aromatic hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 146STATOIL Figure 8.7D Mass fragmentograms from GCMS analysis of aromatic hydrocarbon fraction from DST#1 oil, well 15/9-19 SR 147 Figure 8.8 Classification of fluid types on Sleipner Øst, Vest, Loke and Theta Vest according to source rock type and thermal maturity 148 Figure 8.9 Plot of CO2 concentrations vs carbon isotope composition for all samples from Sleipner Øst, Vest, Loke and Theta Vest 149 Figure 9.1 Isochore map, Top Shetland - Base Cretaceous Unconformity 162 Figure 9.2 Isochore map, Top Shetland - Top Blodøks 163 Figure 9.3 Isochore map, Top Blodøks - Base Cretaceous Unconformity 164 Figure 9.4 Structural depth map of the Top Mesozoic Sandstone with the defined polygons 165 Figure 9.5 Suggested migration paths and spill routes in the Sleipner area. ... 166 Figure 9.6 Fluid gradients of the Jurassic/Triassic reservoirs in the Sleipner Øst wells 167 Figure 10.1 Prospect map, Theta Vest 180 Figure 10.2 Frequency plot of plug and log derived porosity values from the Hugin Formation, well 15/9-19 SR 181 Figure 10.3 Histogram plot of log derived water saturation values from the Hugin Formation, well 15/9-19 SR 182 Figure 10.4 Segment map, Theta Vest 183 Figure 10.5 Frequency plot of plug and log derived porosity values from the Hugin Formation in the Sleipner Vest wells 184 Figure 10.6 Histogram plot of log derived water saturation values from the Hugin Formation in the Sleipner Vest wells 185LIST Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table Table TableOF 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 5.10 5.11 5.12 6.1 6.2 7.1 7.2 7.3 7.4 7.5 7.6 8.1 8.2 8.3 8.4 8.5 8.6 8.7 8.8 8.9 9.1 10.1 10.2 10.3^^^^^^^^^^^^^^^^^^1 STATO TABLES 15/9-19 SR, biostratigraphy, Statoil 1993 15/9-9, biostratigraphy, RRI (1981) 15/9-11, biostratigraphy, RRI (1982a) 15/9-13, biostratigraphy, RRI (1982b) 15/9-15, biostratigraphy, RRI (1982c) 15/9-16, biostratigraphy, RRI (1983a) 15/9-17, biostratigraphy, RRI (1983b) and Statoil 1993 Table of lithostratigraphy, well 15/9-19 SR Core record, well 15/9-19 SR Whole rock x-ray diffraction analyses data in semiquantitative weight percent Petrographic point count data (300 count) in volume percent Thicknesses of the Draupne, Heather and Hugin Formations observed in the 15/9 exploration wells in the Sleipner Øst area Arithmetic mean Mean of petrophysical results for the Hugin Fm. of 15/9-19 SR. . . . Results from the testing phase and analysis The rates, pressures and flow periods Input parameters used for the analysis Composition of reservoir fluid (from recombined separator samples) Results bottomhole samples Results bottomhole samples Available gas and oil samples from well 15/9-19 SR Chemical and isotopic composition of gases from DST#1, well 15/9- 19 SR1 Bulk composition data for oil sample from well 15/9-19 SR Isotopic composition data for oil sample and fractions from well 15/9- 19 SR1 Thompson's indices1 from light hydrocarbons analysis of oil sample from well 15/9-19 SR Data from GC analysis of whole oil and saturates fraction, well 1 5/9- 19 SR Data from GC analysis of aromatics fraction from oil, well 15/9-19 SR Biomarker parameters from GCMS analysis of saturated hydrocarbon fraction of oil from well 15/9-19 SR Biomarker parameters from GCMS analysis of aromatic hydrocarbon fraction of oil from well 15/9-19 SR Pressure in adjacent wells Estimation of resources for the Theta Vest prospect Estimation of resources for the western segment of the Theta Vest structure Estimation of resources for the eastern segment of the Theta Vest structureIL 59 61 62 63 63 64 64 65 69 75 76 81 102 103 106 108 108 110 111 112 123 124 125 125 126 127 127 128 132 160 175 176 177Table 10.4 Table 10.5STATOIL Estimation of resources for the Theta C prospect 178 Estimation of resources for the Theta Sør prospect 179CJ STATOIL Volume 2 ENCLOSURES 1 V0 map, Top Heimdal Formation. Scale 1:25000. 2 Structural depth map, Top Heimdal Formation. Scale 125000. 3 Structural depth map, Base Cretaceous Unconformity."
4,Geological Report_40,"Scale 1:50000. 4 Time map, Top Mesozoic Sandstone. Scale 1:25000. 5 Structural depth map, Top Mesozoic Sandstone. Scale 125000. 6 Amplitude map, Top Mesozoic Sandstone. Scale 1:25000. 7 Dip map, Top Mesozoic Sandstone. Scale 1:25000. 8 Azimuth map, Top Mesozoic Sandstone."
5,Geological Report_50,"Scale 1:25000. 9 Amplitude map, Base Cretaceous Unconformity. Scale 1:25000. 10 Dip map, Base Cretaceous Unconformity. Scale 1:25000. 11 Azimuth map, Base Cretaceous Unconformity. Scale 1:25000. 12 Structural depth map, Top Rotliegende. Scale 1:25000. 13 Composite plott, well 15/9-19 SR."
6,Geological Report_60,"Scale 1200. 14 Lithostratigraphic correlation. Scale 1:2000. 15 Lineament map. Scale 1:25000. 16 Isochore map, Top Shetland Gr. - Base Cretaceous Unconformity. Scale 1:25000. 17 Isochore map, Top Shetland Gr. - Top Blodøks Fm.."
7,Geological Report_70,"Scale 125000. 18 Isochore map, Top Blodøks Fm. - Base Cretaceous Unconformity. Scale 125000. 19 Isochore map, Base Cretaceous Unconformity - Top Mesozoic Sandstone. Scale 125000.STATOIL 1 SUMMARY The hydrocarbon discovery of exploration well 15/9-19 SR has been evaluated. A comprehensive analysis has been performed including seismic and structural interpretation, biostratigraphy, sedimentology, petrography, petrophysics, DST-test analysis and geochemistry. Finally, a resource analysis of the discovery and associated prospects has been performed. The exploration well 15/9-19 SR is located on the Theta Vest structure in the Sleipner Øst area. The well proved oil in Jurassic sandstones of the Hugin Formation."
8,Geological Report_80,"The 18 meter thick Hugin Formation was found to be completely filled with hydrocarbons to its base at 2882.0 m MSL TD was reached in Triassic sediments at 3110.3 m MSL. The primary objective of the well was to test the hydrocarbon potential in the Heimdal Formation of Paleocene age, which is the main reservoir for gas and condensate in the Sleipner Øst area. The formation was found deeper than prognosed and was water wet. The secondary objective of the well was to test the hydrocarbon potential of the Jurassic/Triassic. Well planning on the Theta Vest structure was based on interpretation of reprocessed ST8215R 3D survey data from 1991. The Top Hugin Formation horizon has been mapped after the well was drilled. Because of limited resolution of the seismic data and a weak reflector, the horizon has been difficult to interpret consistently. The Theta Vest structure and the oil trap is a dome-shaped structure. The structure has a well defined spill point to the east and is as a base case believed to be filled down to this point. However, several faults cutting the crest of the structure could be sealing the hydrocarbon accumulation off from spilling eastwards."
9,Geological Report_90,"The core logging, covering the lower part of the Middle Jurassic Hugin Formation and the uppermost part of the Triassic Skagerrak Formation, shows a high frequence of fractures in the cores. This indicates penetration of a zone of intense and complex faulting. The unfaulted thickness of the Hugin Formation has been estimated. The application of a pure or simple shear model, gives an unfaulted thickness in the range of 24 to 27 meters. The Hugin Formation in the 15/9-19 SR well is Callovian in age, probably of Late Callovian. The sandstones are interpreted to be deposited in a high energy marine environment, possibly a mouthbar setting. The reservoir interval consists of highly variable fine to coarse grained, well to poorly sorted, subarkosic arenite sandstones with good to excellent reservoir properties. The underlying Skagerrak Formation is completely tight due to extensive kaolinite and dolomite cementation. Within the Sleipner Øst area, the Jurassic and Triassic reservoir distribution is complicated 10STATOIL due to syndepositional tectonics and later erosion. The Hugin Formation sandstones are only identified in three of the wells in the area."
